date,오이도,정왕,신길온천,안산,초지,고잔,중앙,한대앞,상록수,반월,대야미,수리산,산본,금정,범계,평촌,인덕원,정부과천청사,과천,대공원,경마공원,선바위,남태령,사당,총신대입구,동작,이촌,신용산,삼각지,숙대입구,서울역,회현,명동,충무로,동대문역사문화공원,동대문,혜화,한성대입구,성신여대입구,길음,미아사거리,미아,수유,쌍문,창동,노원,상계,당고개
2019-03-10,14574,14440,2479,29700,5192,12296,30031,11857,27987,6839,5846,4935,24652,37379,39052,16362,30844,19596,6853,8579,37658,9839,1811,39927,28950,3266,13375,19068,6594,22117,25398,29559,73695,29568,35248,26447,66863,20965,34533,28751,40690,21975,52444,40214,39891,35259,26129,18997
2019-03-11,23139,24145,3854,29560,11677,19503,40044,22016,48574,10266,9828,9130,41697,62105,64432,42610,59767,28502,10911,4307,2099,20258,3382,60121,51332,5483,18060,37981,11716,40831,40943,73189,87864,80497,45147,57239,82577,39310,56103,57589,64265,39321,86377,72063,67181,50698,46420,28112
2019-03-12,22947,23255,3535,29181,11337,19936,39722,21931,48508,10063,9699,9080,41526,63007,65320,42030,61582,26075,11254,4545,2282,19976,3403,61733,51169,5373,18927,37723,12367,41171,40560,72447,90516,81245,45212,56901,85051,40067,55832,58120,65043,39194,85256,71990,66897,50236,46637,28262
2019-03-13,23137,22889,3665,29314,11055,19526,40608,21916,48891,10412,9804,9320,42692,62702,67345,42210,62024,32487,11588,4833,5208,20070,3223,62368,51460,5593,19673,38298,12038,41679,41510,73763,91927,80931,46021,56408,88744,39617,56851,58452,65632,39439,86882,72087,68063,51210,46885,28589
2019-03-14,23309,23507,3660,29082,11242,19450,41869,22329,49873,10358,9945,9349,43685,63539,67594,43324,62196,25996,11406,5310,5087,20390,3379,63466,52350,5608,19235,39115,12555,41959,42100,75214,92670,83699,47605,56825,90019,39229,56658,58547,66051,39687,87904,72353,69125,52778,47286,28762
2019-03-15,23511,23386,3743,29758,11721,19811,43098,22400,48504,10516,9951,9192,44561,64434,69240,42879,63718,26298,11635,4783,16716,21773,3601,67794,54838,5605,19522,41322,13361,39099,46485,74930,89560,81948,50019,59052,94920,39329,58788,56727,68784,39835,90361,73332,71058,54693,47703,28965
2019-03-16,20558,16593,3290,29717,6199,16990,40220,16211,38157,8938,8263,7162,35464,48531,57832,25512,43689,15686,9150,12367,28702,13968,2696,58825,42570,4734,17524,26715,9038,26846,33146,67327,91600,47742,45215,50169,91648,28716,46925,40081,56499,29028,70255,55415,53543,46338,35790,24390
2019-03-17,15687,14166,2494,30285,4106,11626,29949,12337,28655,6855,6395,5284,25338,37991,39486,16372,32164,19780,6996,12668,38608,10406,1818,41455,29782,3951,15035,19479,6742,22222,26824,30875,75120,31044,38151,28404,67755,22005,35034,30027,42727,22650,54314,41864,41186,35146,26617,19825
2019-03-18,23276,24044,3777,30193,11158,19829,40325,21912,49303,10415,9888,9274,41990,62253,64011,41898,59956,26696,10744,5001,2170,20128,3149,60370,51441,5675,19019,37583,11633,40023,40771,74758,88746,79993,45639,57975,81685,39061,55297,57039,64234,39285,85837,71860,67118,50960,46581,28388
2019-03-19,23466,23654,3922,29587,11272,19915,40752,22186,49711,10445,10211,9341,43162,63303,66418,42400,62581,26649,11132,6608,2578,20352,3278,61744,51564,5823,19557,38249,12325,41632,41369,75943,90375,81659,47262,58801,87523,39928,56223,58538,66648,39585,87273,72922,68097,51445,47494,29011
