date,신도림,대림,구로디지털단지,신대방,신림,봉천,서울대입구,낙성대,사당,방배,서초,교대,강남,역삼,선릉,삼성,종합운동장,잠실새내,잠실,잠실나루,강변,구의,건대입구,성수,뚝섬,한양대,왕십리,상왕십리,신당,동대문역사문화공원,을지로4가,을지로3가,을지로입구,시청,충정로,아현,이대,신촌,홍대입구,합정,당산,영등포구청,문래
2019-03-22,136906,67393,155695,64749,161900,56714,126614,70862,112541,52957,53735,101753,250368,130635,129603,142469,21364,60872,189574,38939,106268,58009,110745,77477,46366,33636,44696,34340,35696,53419,29388,57763,124268,64607,28532,26345,55863,119141,194088,83778,57685,56611,50298
2019-03-23,121231,53211,94244,48108,130573,41263,98565,54469,92786,29831,33707,54796,195208,53612,63944,98888,47843,49580,174788,21721,98185,38858,105839,39415,26181,17131,36229,22131,29061,46708,20743,29132,81181,29395,17615,18677,42859,108201,210799,72257,38350,29721,28677
2019-03-24,83987,48443,69666,40068,100973,30389,73418,40847,63451,20040,32691,32925,115424,31675,32383,65225,44998,34468,124969,15470,79803,28665,80602,24788,19972,8743,25945,17016,22203,37430,9487,22966,61212,18835,11260,13718,30697,74394,157642,51873,26713,18854,16619
2019-03-25,125598,67146,148846,62988,151565,55006,117934,67264,97176,53360,52441,93711,215892,128439,128923,123386,20960,54085,164306,38212,89112,55452,92052,73403,43803,37714,39093,32897,34145,40033,28081,53808,112011,59175,27085,24684,53148,101021,151682,71444,53650,55118,48975
2019-03-26,127587,67736,152750,64158,154111,55894,120731,69936,101501,55476,55374,97412,221643,128719,129470,135830,27395,55045,169385,39968,85526,56684,95948,74434,45698,38889,40200,33442,35598,41973,28677,55663,117012,63845,27915,26096,54072,104448,159644,77124,56136,55664,49491
2019-03-27,129751,65900,152095,63771,156021,55609,120717,67683,101638,53995,56325,97709,223428,129585,130528,144777,27274,55206,172805,39946,88191,56340,97630,75032,45866,37749,40289,33720,35247,43177,28460,57120,116652,65151,28030,25852,53586,104942,160854,74376,55695,54981,49524
2019-03-28,129984,66472,151896,64290,156435,56168,121388,68152,104687,54813,55674,97361,225161,130973,131586,145533,30070,55554,175847,40374,90347,56548,99387,75882,45171,37558,41204,33652,35512,43465,28997,55938,118880,64456,28310,25687,53617,107097,165132,76199,56588,55533,49413
2019-03-29,136955,67525,155480,65084,161925,56194,127394,71026,112579,51910,54267,98863,245399,129247,130048,153087,42527,61366,193999,40060,107324,57400,110668,77115,45629,32971,44336,34379,36148,45337,29181,58083,121250,64847,28388,25949,55481,116462,192859,84555,57619,55691,50005
2019-03-30,120169,51082,91614,47813,127827,40978,94040,51565,86184,29145,33014,52154,187559,59878,61308,87222,35223,49736,171568,24086,92832,38067,98533,37540,24837,15066,35789,22338,27863,38627,20055,27520,78009,28730,16947,17904,40656,103468,201490,70136,36866,28257,27331
2019-03-31,82497,44341,66776,38168,98597,29714,69646,39020,59171,19509,33493,31856,109035,29259,30434,62158,30966,31806,125709,15988,76737,27008,76791,22907,18360,8863,25352,15996,20899,29712,9189,21412,60104,17433,10441,13192,29827,71920,150970,50987,24851,19081,17401
2019-04-01,124573,66827,147090,63077,150997,55385,117289,66355,94350,53223,51650,91026,211943,126258,124430,128741,20953,53523,170954,38971,88834,55140,92670,73231,43999,37330,38935,32520,33432,39924,27715,53015,112412,59254,27209,24691,51780,101209,151737,70919,53204,54184,48037
2019-04-02,126145,66549,149398,64316,153126,55645,118523,68113,98005,54483,53021,93653,216666,126978,127685,131594,26778,54848,174412,39627,85234,56244,93725,74066,45712,38562,39416,32937,34540,41017,28538,53485,114836,62262,27129,25704,53186,102633,155645,73202,55274,54612,49146
2019-04-03,127978,66895,150916,64644,154921,56025,120364,67568,99676,53388,55067,95134,221692,129122,129667,142444,27117,54849,181597,39705,85222,55932,95871,74404,46216,38106,40830,33619,35310,42882,28107,55868,116399,63508,27755,25675,53917,104796,159705,74128,55687,54395,49307
2019-04-04,129043,66759,150193,64912,156783,55852,120058,68447,102355,54598,53399,94815,224164,127686,128204,144747,26375,55942,188112,39495,89817,56441,97990,75117,44859,37254,40749,33732,35043,45367,27778,54848,117434,63524,27607,25559,53723,107173,167109,76159,56291,55467,49087
