date,개화,김포공항,공항시장,신방화,마곡나루,양천향교,가양,증미,등촌,염창,신목동,선유도,당산,국회의사당,여의도,샛강,노량진,노들,흑석,동작,구반포,신반포,고속터미널,사평,신논현,언주,선정릉,삼성중앙,봉은사,종합운동장,삼전,석촌고분,석촌,송파나루,한성백제,올림픽공원,둔촌오륜,중앙보훈병원
2019-03-07,13623,22316,6948,17028,22074,20198,47735,16716,24308,39018,9108,16911,44107,39255,53991,12436,66801,9963,27503,3848,7246,7685,33138,7500,73384,21013,20651,14174,40607,9596,11145,9910,11735,7743,3937,10485,2043,15130
2019-03-08,14028,24261,7253,17623,22702,21054,49748,17232,25891,39789,9277,17319,45787,42533,55964,12765,71300,9929,26957,3974,7642,7119,40573,7842,83689,21767,21747,14189,40551,11193,11465,10273,12308,8074,4163,16826,2095,14769
2019-03-09,8991,22097,5786,11941,17692,14929,35054,10191,17018,27158,5622,8353,31939,14849,21361,6597,62836,7359,18250,3128,6616,5140,42555,4845,65518,12860,13089,7578,34234,9170,9160,8097,9564,6878,3307,27540,1232,7825
2019-03-10,6014,19454,4227,8675,11873,10235,27631,5954,10964,19419,3974,5764,21727,11225,14560,4225,43743,5849,12288,2471,3419,4258,34368,3196,38804,7485,7140,4566,22591,6563,6454,5895,6945,4999,2563,18484,1277,6043
2019-03-11,13928,21109,6991,16744,21170,20573,47467,16841,24920,38502,8987,16541,41992,38091,52123,12795,65014,9681,27068,3522,7403,6737,32619,7431,70244,20327,20131,14105,34478,9710,11223,9605,11474,7437,3798,10127,2043,14875
2019-03-12,13091,20724,6990,17051,21585,20909,47398,16600,24464,38451,8923,16437,43147,40031,52667,12230,65208,9802,27069,3512,7388,6890,32563,7445,70887,21063,20234,14082,34693,9329,11036,9906,11474,7767,3864,10289,2149,15300
2019-03-13,13347,21026,7033,16765,21906,21214,47567,16936,24489,38701,9069,16788,43468,39813,53209,12134,66097,9957,27209,3709,7436,7121,32554,7609,71225,20794,20538,14135,36107,9931,11168,9923,11614,7688,4088,10554,2295,15268
2019-03-14,13459,22093,7000,16947,22064,21133,47930,16608,24497,38644,9097,16598,43844,38904,53213,12555,67404,9708,27345,3674,7223,7964,34307,7478,72946,20753,21131,14368,41511,11166,11244,9957,11928,7706,4042,10812,2130,15747
2019-03-15,13705,23773,7409,16967,22277,21569,48122,16773,25676,39362,9343,17211,45626,43259,54457,13096,70485,10012,27142,3721,7497,7360,40065,8030,81470,21835,21440,14816,44192,10298,11782,10512,12030,8380,4101,16774,2107,15134
2019-03-16,8641,21832,5595,11677,17369,14928,34789,9983,16051,26787,5487,8099,31016,15042,21998,6854,62480,7274,18151,3151,7354,4997,42245,4837,64328,12994,12842,7091,33698,7864,9248,7869,9426,6947,3206,15567,1177,7876
