date,대화,주엽,정발산,마두,백석,대곡,화정,원당,원흥,삼송,지축,구파발,연신내,불광,녹번,홍제,무악재,독립문,경복궁,안국,종로3가,을지로3가,동대입구,약수,금호,옥수,압구정,신사,잠원,고속터미널,교대,남부터미널,양재,매봉,도곡,대치,학여울,대청,일원,수서,가락시장,경찰병원,오금
2019-03-18,30923,23868,17128,19591,26046,3529,44145,26867,19497,37237,2956,45024,91337,44324,31179,45249,9476,18260,55311,55889,27970,26606,34318,32832,19195,22863,73261,72467,14944,97198,31449,77270,100848,27626,13945,27789,4277,23415,23673,40729,23015,19296,15080
2019-03-19,30955,24225,17904,20179,26063,3739,45511,27504,20097,37949,2869,45943,92297,45454,31431,45663,9761,19407,55154,57752,28373,26537,29915,33454,19556,23244,82522,74435,14923,104583,32284,78159,102904,28228,14202,28091,4583,24158,25242,41122,23555,18985,15655
2019-03-20,38402,23532,17449,19977,25261,3342,44747,26560,19060,36718,2824,44581,90843,44169,31555,44937,9927,18707,57020,56012,28167,28444,31133,33074,19173,23127,78235,72570,14802,102937,31052,78758,102042,27921,13799,27961,4824,23478,23818,40901,22953,18701,15128
2019-03-21,34813,23358,17378,20210,26065,3676,44466,26859,19594,37683,2692,45491,92308,44980,31262,44745,9852,18496,58948,58467,28326,27352,29819,33165,19427,23016,79154,76192,14991,107721,32165,78671,106349,28078,14110,27815,7709,23819,24305,41350,23363,18925,15083
2019-03-22,31419,24260,19568,20534,27271,3547,46042,27731,19590,38122,2916,47148,96574,45400,31493,45352,9723,19613,62522,61692,30827,29251,27983,34753,20149,23685,86163,84719,15207,139025,32931,90584,109131,28115,14522,29570,8092,24221,24721,45865,24615,19686,15777
2019-03-23,22592,17187,17742,14276,20797,2622,34354,20166,13320,28685,2169,35619,74033,36344,21233,33319,6786,17946,43684,44121,22421,15445,23374,23005,13929,17764,65122,67072,9710,154316,16034,70052,62457,13957,9192,23632,6310,14654,12197,32587,16354,10121,9744
2019-03-24,17206,11880,15745,9708,16257,2193,28102,15764,9987,23092,1744,28863,56782,29540,15370,24340,5187,13784,34643,34968,14075,9413,16092,17688,10941,13424,37268,41146,6708,122104,10041,49516,39513,9069,5383,15487,1842,10082,9318,24159,9905,7395,7640
2019-03-25,30955,23193,16729,19811,25779,3548,44013,26522,19115,37029,2815,45570,91120,43770,30657,45054,9516,17955,55966,55690,27685,26468,29605,32420,19089,22550,77333,71919,14725,104903,31195,75005,100121,27204,13833,27940,4261,23360,24021,40867,23070,19241,14995
2019-03-26,31582,24121,17925,19517,25824,3819,46037,27488,20011,37487,2961,46358,93269,45344,31705,45845,10052,19620,55786,58494,28032,26889,31178,33639,19508,23129,81679,73987,14892,103785,32077,79036,103032,28180,13950,28277,4151,23719,24843,40707,23482,18981,15252
2019-03-27,30523,23359,17881,20262,24949,3545,46388,26792,19699,37010,2843,46115,91540,45520,31488,45583,9740,20190,59262,59003,28928,27643,29569,33130,19277,23162,78290,75260,14753,104448,31661,78455,102295,27603,13749,28426,4703,23790,24921,41019,23170,18930,15349
